,Date_ID,Total_Value_Binned_Encoded,Month,NumberOfDaysInMonth,Quarter,Year,LeapYear,Minimum Temperature,Maximum Temperature,Barley,Canola,Durum,Flaxseed,Oats,Rye,Wheat,Avena sativa,Brassica napus,Hordeum,Linum usitatissimum,Secale,Triticum,Brassicaceae,Grass,Linaceae,Mean_Temp_Binned_Encoded,Min_Temp_Binned_Encoded,Max_Temp_Binned_Encoded,Mean_Diff_from_Normal_Binned_Encoded,Snowfall_Binned_Encoded,Percent_of_Normal_Snowfall_Binned_Encoded,Total_Precip_Binned_Encoded,Percent_of_Normal_Precip_Binned_Encoded,Snow_on_Ground_Binned_Encoded,Days_with_Precip_Binned_Encoded,Heating_Degree_Days_Binned_Encoded,Cooling_Degree_Days_Binned_Encoded,Mean_Temp_Rolling_Average_Binned_Encoded,Min_Temp_Rolling_Average_Binned_Encoded,Max_Temp_Rolling_Average_Binned_Encoded,Mean_Diff_from_Normal_Rolling_Average_Binned_Encoded,Snowfall_Rolling_Average_Binned_Encoded,Percent_of_Normal_Snowfall_Rolling_Average_Binned_Encoded,Total_Precip_Rolling_Average_Binned_Encoded,Percent_of_Normal_Precip_Rolling_Average_Binned_Encoded,Snow_on_Ground_Rolling_Average_Binned_Encoded,Days_with_Precip_Rolling_Average_Binned_Encoded,Heating_Degree_Days_Rolling_Average_Binned_Encoded,Cooling_Degree_Days_Rolling_Average_Binned_Encoded,Area_Binned_Encoded,Land_Binned_Encoded,LandOfArea_Percent_Binned_Encoded,Freshwater_Binned_Encoded,FreshwaterOfArea_Percent_Binned_Encoded,Alberta,Atlantic,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prairies,Prince Edward Island,Quebec,Saskatchewan,Territories,Yukon,Atlantic_Region,British Columbia_Region,Canada_Region,Prairies_Region,Territories_Region
525,249,1,10,31,4,2021,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,23,25,20,38,1,0,32,24,3,25,17,3,23,23,22,36,12,4,29,29,10,14,17,8,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
526,250,1,11,30,4,2021,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,14,16,13,28,18,11,24,12,12,27,27,0,15,16,14,34,25,22,33,27,18,23,25,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
527,251,1,12,31,4,2021,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,6,10,9,18,29,15,25,23,17,32,35,0,1,2,8,3,38,34,13,36,26,27,40,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
528,252,1,1,31,1,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0,2,0,1,31,19,15,10,25,26,40,0,0,0,0,5,39,32,10,29,31,16,40,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
529,253,1,2,28,1,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1,4,2,4,32,25,26,38,26,29,37,0,1,1,4,2,35,32,5,39,33,10,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
530,254,1,3,31,1,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,7,7,11,9,31,23,27,37,26,34,34,0,11,9,13,13,26,22,7,21,28,12,30,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
531,255,1,4,30,2,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,14,18,14,12,15,15,30,32,12,32,26,0,17,19,16,2,23,34,19,39,17,17,23,2,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
532,256,1,5,31,2,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,24,23,27,27,3,1,32,25,0,23,17,9,25,26,24,16,11,6,34,35,5,29,15,10,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
533,257,1,6,30,2,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,29,32,31,13,0,0,37,36,0,36,11,11,31,32,32,17,1,0,39,33,3,37,8,16,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
534,258,1,7,31,3,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,34,37,30,18,0,0,32,15,0,27,7,17,39,40,38,25,2,0,27,22,2,20,1,24,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
535,259,1,8,31,3,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,34,38,32,27,0,0,37,33,0,33,6,16,40,39,38,35,0,0,21,10,2,4,0,25,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
536,260,1,9,30,3,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,27,29,25,22,0,0,32,20,0,22,13,9,30,29,34,34,3,0,4,0,4,0,10,15,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
537,261,1,10,31,4,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,22,24,20,37,4,1,24,5,3,20,18,3,23,24,22,37,15,9,6,0,11,1,17,5,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
538,262,1,11,30,4,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,13,14,18,31,26,19,31,22,13,29,27,3,12,12,14,9,33,35,12,36,19,12,28,4,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
539,263,1,12,31,4,2022,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,9,12,6,39,31,22,33,36,17,31,32,0,2,3,0,4,38,34,19,37,25,23,39,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
540,264,1,1,31,1,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,4,7,1,39,32,24,24,25,26,32,37,0,6,7,1,39,31,13,5,1,31,6,36,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
541,265,1,2,28,1,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,2,3,4,9,31,25,18,32,26,24,38,0,3,1,3,13,31,26,4,15,32,3,35,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
542,266,1,3,31,1,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,9,11,5,28,28,20,16,14,26,20,32,0,8,11,6,1,25,19,0,1,30,0,33,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
543,267,1,4,30,2,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,16,15,19,20,11,7,26,27,5,20,25,2,18,17,19,7,21,31,14,30,12,7,21,5,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
544,268,1,5,31,2,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,23,24,30,17,4,2,16,3,0,14,17,8,29,28,33,37,7,1,1,0,3,0,12,14,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
545,269,1,6,30,2,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,30,31,35,18,0,0,31,18,0,26,10,14,35,34,37,34,0,0,24,18,1,7,5,21,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
546,270,1,7,31,3,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,37,40,36,31,0,0,39,39,0,37,4,19,38,40,38,21,4,0,31,20,2,18,1,23,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
547,271,1,8,31,3,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,32,37,25,12,0,0,38,37,0,35,7,11,36,37,35,22,0,0,26,22,3,15,3,20,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
548,272,1,9,30,3,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,29,30,30,36,0,0,21,4,0,12,11,13,31,31,32,37,4,0,2,0,4,0,9,15,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
549,273,1,10,31,4,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,23,22,25,39,11,29,37,33,9,36,17,7,22,19,23,30,17,33,23,26,14,22,19,9,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
550,274,1,11,30,4,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,12,14,11,9,23,19,19,6,15,22,28,0,15,17,12,33,21,12,5,1,17,4,25,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
551,275,1,12,31,4,2023,0,5,28,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,10,12,9,40,24,12,26,26,11,18,31,0,13,16,10,40,22,9,16,6,16,4,27,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
552,0,1,1,31,1,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3,6,0,23,31,16,16,5,26,34,38,0,7,10,1,40,27,11,2,0,32,9,35,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
553,1,1,2,28,1,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3,5,3,11,32,23,27,30,26,36,35,0,1,4,2,1,33,24,3,17,33,13,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
554,2,1,3,31,1,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,9,6,8,11,32,27,23,20,26,23,32,0,13,12,11,20,32,23,5,6,28,7,28,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
555,3,1,4,30,2,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,18,19,20,15,12,6,13,1,7,17,23,1,20,20,23,17,20,17,3,5,11,6,20,6,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
556,4,1,5,31,2,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,28,26,29,33,5,3,24,10,0,24,13,8,27,27,28,29,12,5,24,13,5,31,13,10,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
557,5,1,6,30,2,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,34,31,38,27,0,1,35,20,0,34,7,17,31,32,31,12,8,4,37,15,2,40,9,18,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
558,6,1,7,31,3,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,36,36,34,8,0,0,35,17,0,37,4,17,37,37,37,16,2,0,36,16,0,34,3,24,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
559,7,1,8,31,3,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,39,35,37,30,0,0,33,16,0,31,3,20,40,36,40,31,0,0,18,3,0,8,2,26,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
560,8,1,9,30,3,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,29,28,31,26,1,1,30,11,1,29,11,13,29,29,30,28,6,2,15,2,1,10,11,14,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
561,9,1,10,31,4,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,23,22,20,30,9,11,36,25,3,39,18,3,21,21,20,15,17,17,32,15,9,37,20,5,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
562,10,1,11,30,4,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,16,17,15,34,23,14,29,14,12,38,24,0,17,17,15,40,24,15,26,10,17,33,24,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
563,11,1,12,31,4,2001,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,11,13,13,40,27,11,19,6,16,36,30,0,8,12,8,34,34,17,19,7,23,31,34,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
564,12,1,1,31,1,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5,8,2,39,31,16,18,7,23,38,36,0,4,4,6,36,37,22,13,6,27,35,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
565,13,1,2,28,1,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,6,7,6,31,30,18,22,18,24,35,33,0,8,7,9,36,29,17,7,10,26,11,30,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
566,14,1,3,31,1,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,9,11,12,12,31,26,30,31,20,38,32,0,6,6,10,0,38,35,17,31,24,37,37,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
567,15,1,4,30,2,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,18,16,21,18,20,25,30,24,6,35,22,6,18,16,19,2,23,32,16,24,12,26,23,8,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
568,16,1,5,31,2,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,24,25,25,5,9,25,37,33,0,38,17,7,23,22,25,2,19,35,23,11,7,28,17,10,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
569,17,1,6,30,2,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,31,29,30,7,3,22,36,28,0,36,10,13,33,31,39,22,13,13,39,24,0,36,8,20,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
570,18,1,7,31,3,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,39,37,39,23,0,0,33,14,0,32,3,21,40,38,40,28,7,0,25,6,4,22,2,26,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
571,19,1,8,31,3,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,38,35,38,27,0,0,17,2,0,19,3,20,35,34,35,13,9,3,28,25,0,28,6,22,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
572,20,1,9,30,3,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,31,29,36,33,1,2,34,22,0,27,10,15,29,27,29,25,11,9,25,17,4,22,12,16,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
573,21,1,10,31,4,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,20,20,22,5,12,28,30,14,4,33,21,6,18,18,19,1,19,28,4,3,12,19,23,8,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
574,22,1,11,30,4,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,12,13,16,5,32,30,32,19,15,39,28,0,14,16,13,24,27,25,21,2,16,26,26,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
575,23,1,12,31,4,2002,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,8,8,3,22,25,8,17,3,15,29,34,0,10,10,5,38,29,16,12,8,21,20,32,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
576,24,1,1,31,1,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,4,0,4,28,12,12,2,23,26,39,0,2,2,5,13,35,18,14,8,27,29,40,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
577,25,1,2,28,1,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,2,2,2,30,19,18,14,26,25,37,0,1,1,0,1,32,28,1,27,32,12,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
578,26,1,3,31,1,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,8,5,13,6,30,22,27,28,18,36,33,0,10,1,14,3,30,25,21,21,18,35,32,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
579,27,1,4,30,2,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,15,13,18,4,20,25,26,19,6,28,26,0,19,18,20,10,25,35,22,39,11,28,21,4,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
580,28,1,5,31,2,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,25,25,27,15,4,2,33,27,0,36,15,5,26,25,27,16,15,21,27,18,7,34,14,9,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
581,29,1,6,30,2,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,33,30,39,20,2,7,28,12,0,26,8,17,32,32,37,18,7,4,29,6,1,35,8,18,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
582,30,1,7,31,3,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,38,39,30,17,0,0,36,22,0,39,2,18,39,39,38,22,3,0,22,3,0,31,1,25,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
583,31,1,8,31,3,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,38,35,31,26,0,0,36,24,0,34,4,20,40,36,40,33,3,4,19,4,0,11,2,26,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
584,32,1,9,30,3,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,31,30,28,33,0,0,28,13,0,26,9,11,28,28,31,23,12,17,28,21,1,30,12,15,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
585,33,1,10,31,4,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,21,23,22,14,11,22,39,36,3,38,19,1,22,20,24,29,19,28,40,33,15,36,19,5,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
586,34,1,11,30,4,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,15,17,15,23,24,15,38,33,10,36,26,0,12,14,11,4,26,18,31,15,19,24,29,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
587,35,1,12,31,4,2003,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,8,10,4,26,32,26,39,39,20,39,33,0,9,10,4,35,37,20,30,17,24,28,34,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
588,36,1,1,31,1,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1,2,1,1,31,17,18,8,25,34,40,0,0,0,0,0,39,34,25,37,33,40,40,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
589,37,1,2,29,1,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,4,3,3,19,30,18,16,9,26,22,35,0,7,4,5,30,25,14,0,1,33,2,33,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
590,38,1,3,31,1,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,12,12,13,35,21,12,17,16,18,21,27,0,14,13,16,32,26,21,17,34,20,32,27,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
591,39,1,4,30,2,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,17,18,21,15,18,14,27,21,8,35,23,5,20,20,21,20,17,11,2,5,11,8,20,5,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
592,40,1,5,31,2,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,25,24,25,15,9,28,33,25,0,37,16,7,24,24,24,5,20,35,39,38,7,40,16,9,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
593,41,1,6,30,2,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,30,30,27,7,3,19,31,13,0,34,10,12,30,31,30,7,7,9,27,6,2,36,10,15,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
594,42,1,7,31,3,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,38,38,31,17,0,0,39,32,0,37,2,19,37,38,36,15,4,0,39,27,0,38,3,23,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
595,43,1,8,31,3,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,35,34,27,13,0,0,36,25,0,35,5,16,33,33,30,5,5,0,39,38,1,40,8,18,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
596,44,1,9,30,3,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,29,29,24,22,0,0,31,14,0,14,11,8,28,29,24,19,12,10,26,24,2,17,12,12,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
597,45,1,10,31,4,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,22,22,21,23,5,1,24,6,1,23,18,2,21,22,23,16,19,20,20,19,10,29,20,4,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
598,46,1,11,30,4,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,14,15,11,16,18,8,31,15,6,34,27,0,16,17,13,37,21,9,21,0,14,15,25,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
599,47,1,12,31,4,2004,1,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5,5,7,4,32,23,36,32,22,40,36,0,5,4,8,12,39,33,36,40,26,40,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
600,48,1,1,31,1,2005,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,3,9,5,26,11,15,5,22,26,39,0,0,0,7,3,36,24,25,24,28,31,40,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
601,49,1,2,28,1,2005,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,6,7,5,29,29,17,17,13,25,25,33,0,7,8,9,30,27,18,1,7,29,1,31,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
602,50,1,3,31,1,2005,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,9,9,12,9,31,23,22,17,23,26,31,0,12,12,13,16,32,27,11,24,22,24,29,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
603,51,1,4,30,2,2005,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,19,21,19,25,12,8,39,39,7,37,21,0,21,23,22,32,17,15,21,22,11,9,19,3,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
604,52,1,5,31,2,2005,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,24,24,24,7,4,1,19,5,0,31,16,5,25,24,26,12,11,6,18,12,6,31,15,8,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
605,53,1,6,30,2,2005,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,37,34,37,34,0,2,36,26,0,29,6,20,33,34,33,24,9,4,40,39,1,40,8,21,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
606,54,1,7,31,3,2005,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,39,38,37,25,0,0,32,16,0,30,2,21,39,38,37,20,1,0,35,17,0,36,3,25,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
607,55,1,8,31,3,2005,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,38,35,33,27,0,0,38,30,0,34,3,19,35,35,36,14,7,0,37,31,0,33,6,22,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
608,56,1,9,30,3,2005,0,5,28,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,31,30,29,31,0,0,38,33,0,30,10,12,28,29,27,24,8,3,34,29,0,18,11,14,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
